A lakeside cottage with a fishing dock.,Residenza Verde,687517,15,"1, Via Roma, Ischia, Napoli, Campania, 80077, Italia",40.7422119,13.9464038,Napoli,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/11992.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/2363.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/2412.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/8521.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/12458.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/4665.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/10431.jpg
An elegant residence with high ceilings.,Villa delle Rose,195189,5,"Via Toledo, Rione Carità, Municipalità 2, Napoli, Campania, 80132, Italia",40.840599,14.2485992,Napoli,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/11857.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/6242.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/8494.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/13663.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/11753.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/14696.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/3470.jpg
A rural estate with horse stables.,Casa delle Rose,868903,21,"Piazza del Plebiscito, San Ferdinando, Municipalità 1, Napoli, Campania, Italia",40.835855949999996,14.248565182098474,Napoli,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/215.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/14165.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/650.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/888.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/6857.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/12513.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/11792.jpg
A trendy condo with floor-to-ceiling windows.,Dimora del Sole,105810,13,"Via Chiaia, San Ferdinando, Municipalità 1, Napoli, Campania, 80132, Italia",40.8362041,14.2457657,Napoli,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/3651.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/8998.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/14587.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/14948.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/4114.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/11289.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/9152.jpg
A suburban home with a finished basement.,Cottage del Sole,809000,11,"United Colors of Benetton, 4;6;8;10;12;14;16;18;20, Corso Umberto I, Gambardella, Fuori Porta, Torre Annunziata, Napoli, Campania, 80058, Italia",40.7565576,14.4439069,Napoli,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/4469.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/15393.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/9168.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/3200.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/11192.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/11189.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/2206.jpg
A historic townhouse with modern upgrades.,Mansion Rossa,914867,3,"Via dei Tribunali, San Lorenzo, Municipalità 4, Napoli, Campania, 80138, Italia",40.8506698,14.2563485,Napoli,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/4179.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/7171.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/5164.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/6812.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/4739.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/3174.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/11187.jpg
A countryside house with a guest house.,Mansion del Parco,924336,21,"Via Partenope, Pizzofalcone, Municipalità 1, Napoli, Campania, 80132, Italia",40.8298444,14.2494485,Napoli,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/9551.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/3262.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/7764.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/972.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/11881.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/4554.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/11362.jpg
A chic condo with a private balcony.,Tenuta della Luna,187997,6,"Via San Gregorio Armeno, Rione Forcella, Municipalità 4, Napoli, Campania, 80138, Italia",40.8497142,14.2580169,Napoli,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/5518.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/13108.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/656.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/8282.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/14698.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/13870.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/9618.jpg
A historic townhouse with modern upgrades.,Tenuta della Collina,387132,15,"Via del Corso, Olevano Romano, Roma Capitale, Lazio, 00035, Italia",41.8468543,13.040282,Napoli,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/665.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/14175.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/8057.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/13031.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/13812.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/9986.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/5947.jpg
A trendy condo with floor-to-ceiling windows.,Tenuta del Mare,660092,13,"Via Duomo, San Lorenzo, Municipalità 4, Napoli, Campania, 80138, Italia",40.8532725,14.2584634,Napoli,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/8529.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/12387.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/4924.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/5126.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/5444.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/11608.jpg,/Users/nandrajog/Downloads/rental_property/lib/House_dataset/socal2/socal_pics/9009.jpg
